Title,Rating,Price,Processor,RAM,Display Size,Storage Capacity
MSI GF63 Thin Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650...,4.5,"₹59,990",Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
Infinix X1 Slim Series Core i5 10th Gen - (16 GB/512 GB SSD/Windows 11 Home) XL21 Thin and Light Lapto...,4.1,"₹38,990",Intel Core i5 Processor (10th Gen),16 GB LPDDR4X RAM,35.56 cm (14 Inch) Display,512 GB SSD
DELL Vostro Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10) Vostro 3405 Thin and Light Laptop,4.4,"₹46,490",AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,35.56 cm (14 inches) Display,512 GB SSD
DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) D552268WIN9S Laptop,N/A,"₹77,490",Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,40.64 cm (16 inch) Display,512 GB SSD
ASUS ROG Flow X13 Ryzen 7 Octa Core 6800HS - (32 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,N/A,"₹1,67,990",AMD Ryzen 7 Octa Core Processor,32 GB LPDDR5 RAM,34.04 cm (13.4 Inch) Touchscreen Display,1 TB SSD
HP Intel Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Pro) 13-aw0211TU 2 in 1 Laptop,5,"₹1,16,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,33.78 cm (13.3 inch) Touchscreen Display,512 GB SSD
acer Extensa Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) EX215-54 Notebook,N/A,"₹34,990",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,256 GB SSD
ASUS Core i3 10th Gen - (4 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) X515JA-EJ372TS Thin and Light...,4.3,"₹29,990",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
Infinix X1 Slim Series Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL21 Thin and Light Laptop,4.2,"₹36,990",Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,35.56 cm (14 Inch) Display,512 GB SSD
Infinix INBook X2 Plus Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Laptop,4.2,"₹33,990",Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA...,4.1,"₹58,900",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
DELL G15 Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz)...,4.4,"₹71,990",NVIDIA GeForce GTX 1650,"15.6 inches Full HD, 2-sided narrow bezel, 120Hz, 250 Nits",In-built Alienware Command center software with enhanced control over system settings,Game shift key for Turbo boost of power
Infinix X1 Slim Series Core i5 10th Gen - (16 GB/512 GB SSD/Windows 11 Home) XL21 Thin and Light Lapto...,4.1,"₹38,990",Intel Core i5 Processor (10th Gen),16 GB LPDDR4X RAM,35.56 cm (14 Inch) Display,512 GB SSD
MSI Core i7 13th Gen - (16 GB/1 TB SSD/Windows 11 Home) Summit E13FlipEvo A13MT-226IN Thin and Light L...,N/A,"₹1,47,990",Intel Core i7 Processor (13th Gen),16 GB LPDDR5 RAM,34.04 cm (13.4 Inch) Display,1 TB SSD
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core 4800H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDI...,4.4,"₹76,990",AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
HP Pavilion Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 15-eh2018AU Thin and Light Lap...,4.2,"₹55,490",AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
acer Swift X Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) SFX16-51G Laptop,N/A,"₹94,990",Intel Core i5 Processor (11th Gen),16 GB LPDDR4X RAM,40.89 cm (16.1 inch) Display,512 GB SSD
Lenovo IdeaPad 3 Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 81WA00K1IN Laptop,5,"₹35,890",Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,35.56 cm (14 inch) Display,256 GB SSD
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA...,4.3,"₹55,990",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Ligh...,4.1,"₹57,490",Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
Lenovo IdeaPad 3 Chromebook Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) ideapad 3 cb...,3.5,"₹16,100",Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,1 Year Onsite�Warranty,29.46 cm (11.6 Inch) Display
ASUS Vivobook 16 (2023) Ryzen 5 Hexa Core 7530U - (16 GB/1 TB SSD/Windows 11 Home) M1605YA-MB551WS Lap...,N/A,"₹66,990",AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,40.64 cm (16 Inch) Display,1 TB SSD
ASUS ZenBook 13 Core i7 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) UX333FA-A4115T Thin and Light Lapt...,4.3,"₹66,990",Intel Core i7 Processor (8th Gen),8 GB LPDDR3 RAM,33.78 cm (13.3 inch) Display,512 GB SSD
DELL Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 3511 Laptop,4,"₹45,690",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
ASUS VivoBook 14 Core i3 7th Gen - (4 GB/256 GB SSD/Windows 10 Home) X412UA-EK342T Thin and Light Lapt...,4.3,"₹31,490",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,35.56 cm (14 inch) Display,256 GB SSD
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA...,4.4,"₹71,990",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,4.1,"₹21,990",Intel Celeron Quad Core Processor,4 GB LPDDR4X RAM,35.56 cm (14 inch) Display,128 GB SSD
DELL Inspiron Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 7620 2 in 1 Laptop,N/A,"₹88,490",Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,40.64 cm (16 inch) Touchscreen Display,512 GB SSD
DELL Vostro Core i3 10th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Vostro 3401 Thin and Light L...,4.1,"₹42,490",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,35.56 cm (14 inch) Display,1 TB HDD|256 GB SSD
acer Extensa Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) EX 215-54-583M Thin and Light Laptop,4,"₹42,990",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
acer Predator Helios 300 Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/N...,4.5,"₹1,03,990",Free upgrade to Windows 11 when available,Intel Core i7 Processor (10th Gen),1 TB HDD|256 GB SSD,64 bit Windows 10 Operating System
Infinix INBook X1 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,4.1,"₹37,990",Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,35.56 cm (14 inch) Display,512 GB SSD
